"customer_id","lifetime_days","tenure_days","recency_days","frequency","monetary_usd","avg_order_value","avg_days_between_orders","order_count_last_30d","order_count_last_60d","value_segment","lifecycle_segment","is_churned"
12346,325,0,325,2,0.00,0.00,0,0,0,Low-value,Churned,1
12347,367,365,2,7,425492.00,60784.57,61,1,2,High-value,Loyal,0
12348,358,283,75,4,144084.00,36021.00,94,0,0,High-value,At-risk,0
12349,18,0,18,1,138666.00,138666.00,,1,1,High-value,New,0
12350,310,0,310,1,20408.00,20408.00,,0,0,Low-value,Churned,1
12352,296,260,36,11,117659.00,10696.27,26,0,1,Mid-value,At-risk,0
12353,204,0,204,1,8900.00,8900.00,,0,0,Low-value,Churned,1
12354,232,0,232,1,105276.00,105276.00,,0,0,Mid-value,Churned,1
12355,214,0,214,1,45940.00,45940.00,,0,0,Mid-value,Churned,1
12356,325,303,22,3,233083.00,77694.33,152,1,1,High-value,Loyal,0
12357,33,0,33,1,562438.00,562438.00,,0,1,High-value,New,0
12358,150,149,1,2,93046.00,46523.00,149,1,1,Mid-value,Loyal,0
12359,331,324,7,6,463417.00,77236.17,65,1,2,High-value,Loyal,0
12360,200,148,52,3,224500.00,74833.33,74,0,1,High-value,At-risk,0
12361,287,0,287,1,17505.00,17505.00,,0,0,Low-value,Churned,1
12362,295,292,3,13,460189.00,35399.15,24,2,6,High-value,Loyal,0
12363,242,133,109,2,55200.00,27600.00,133,0,0,Mid-value,Churned,1
12364,112,105,7,4,120915.00,30228.75,35,1,2,Mid-value,Loyal,0
12365,291,0,291,3,32069.00,10689.67,0,0,0,Mid-value,Churned,1
12367,4,0,4,1,15108.00,15108.00,,1,1,Low-value,New,0
12370,360,309,51,4,331469.00,82867.25,103,0,1,High-value,At-risk,0
12371,59,15,44,2,142950.00,71475.00,15,0,2,High-value,New,0
12372,296,225,71,3,119706.00,39902.00,113,0,0,Mid-value,At-risk,0
12373,311,0,311,1,32500.00,32500.00,,0,0,Mid-value,Churned,1
12374,25,0,25,1,57499.00,57499.00,,1,1,Mid-value,New,0
12375,98,96,2,3,37622.00,12540.67,48,2,2,Mid-value,Loyal,0
12377,354,39,315,2,151490.00,75745.00,39,0,0,High-value,Churned,1
12378,129,0,129,1,390260.00,390260.00,,0,0,High-value,Churned,1
12379,170,89,81,3,76470.00,25490.00,45,0,0,Mid-value,At-risk,0
12380,185,164,21,5,229954.00,45990.80,41,1,3,High-value,Loyal,0
12381,119,115,4,6,126900.00,21150.00,23,1,4,High-value,Loyal,0
12383,352,168,184,6,147508.00,24584.67,34,0,0,High-value,Churned,1
12384,121,93,28,3,36033.00,12011.00,47,1,1,Mid-value,Loyal,0
12386,366,29,337,2,40190.00,20095.00,29,0,0,Mid-value,Churned,1
12388,326,311,15,6,278066.00,46344.33,62,1,1,High-value,Loyal,0
12390,79,0,79,1,48261.00,48261.00,,0,0,Mid-value,New,0
12391,21,0,21,1,43210.00,43210.00,,1,1,Mid-value,New,0
12393,332,260,72,4,150700.00,37675.00,87,0,0,High-value,At-risk,0
12394,217,154,63,2,108240.00,54120.00,154,0,0,Mid-value,At-risk,0
12395,371,356,15,15,258626.00,17241.73,25,2,4,High-value,Loyal,0
12397,135,100,35,2,214431.00,107215.50,100,0,1,High-value,At-risk,0
12398,45,0,45,1,143766.00,143766.00,,0,1,High-value,New,0
12399,261,142,119,4,103440.00,25860.00,47,0,0,Mid-value,Churned,1
12401,303,0,303,1,6945.00,6945.00,,0,0,Low-value,Churned,1
12402,323,0,323,1,19590.00,19590.00,,0,0,Low-value,Churned,1
12403,49,0,49,2,39188.00,19594.00,0,0,2,Mid-value,New,0
12405,148,0,148,1,134031.00,134031.00,,0,0,High-value,Churned,1
12406,183,161,22,3,303127.00,101042.33,81,1,1,High-value,Loyal,0
12407,264,215,49,5,148645.00,29729.00,54,0,1,High-value,At-risk,0
12408,260,228,32,9,255610.00,28401.11,29,0,2,High-value,At-risk,0
12409,182,104,78,7,1063501.00,151928.71,17,0,0,High-value,At-risk,0
12410,308,7,301,3,37733.00,12577.67,4,0,0,Mid-value,Churned,1
