"order_id","customer_id","order_date","order_month","order_revenue","is_return","country"
"536365",17850,2010-12-01 08:26:00.000 +0200,2010-12-01,13912,N,United Kingdom
"536366",17850,2010-12-01 08:28:00.000 +0200,2010-12-01,2220,N,United Kingdom
"536367",13047,2010-12-01 08:34:00.000 +0200,2010-12-01,25605,N,United Kingdom
"536368",13047,2010-12-01 08:34:00.000 +0200,2010-12-01,7005,N,United Kingdom
"536369",13047,2010-12-01 08:35:00.000 +0200,2010-12-01,1785,N,United Kingdom
"536370",12583,2010-12-01 08:45:00.000 +0200,2010-12-01,80240,N,France
"536371",13748,2010-12-01 09:00:00.000 +0200,2010-12-01,20400,N,United Kingdom
"536372",17850,2010-12-01 09:01:00.000 +0200,2010-12-01,2220,N,United Kingdom
"536373",17850,2010-12-01 09:02:00.000 +0200,2010-12-01,24852,N,United Kingdom
"536374",15100,2010-12-01 09:09:00.000 +0200,2010-12-01,35040,N,United Kingdom
"536375",17850,2010-12-01 09:32:00.000 +0200,2010-12-01,24852,N,United Kingdom
"536376",15291,2010-12-01 09:32:00.000 +0200,2010-12-01,32880,N,United Kingdom
"536377",17850,2010-12-01 09:34:00.000 +0200,2010-12-01,2220,N,United Kingdom
"536378",14688,2010-12-01 09:37:00.000 +0200,2010-12-01,44498,N,United Kingdom
"536380",17809,2010-12-01 09:41:00.000 +0200,2010-12-01,3480,N,United Kingdom
"536381",15311,2010-12-01 09:41:00.000 +0200,2010-12-01,44242,N,United Kingdom
"536382",16098,2010-12-01 09:45:00.000 +0200,2010-12-01,41170,N,United Kingdom
"536384",18074,2010-12-01 09:53:00.000 +0200,2010-12-01,48960,N,United Kingdom
"536385",17420,2010-12-01 09:56:00.000 +0200,2010-12-01,11555,N,United Kingdom
"536386",16029,2010-12-01 09:57:00.000 +0200,2010-12-01,50820,N,United Kingdom
"536387",16029,2010-12-01 09:58:00.000 +0200,2010-12-01,319392,N,United Kingdom
"536388",16250,2010-12-01 09:59:00.000 +0200,2010-12-01,22614,N,United Kingdom
"536389",12431,2010-12-01 10:03:00.000 +0200,2010-12-01,26645,N,Australia
"536390",17511,2010-12-01 10:19:00.000 +0200,2010-12-01,172332,N,United Kingdom
"536392",13705,2010-12-01 10:29:00.000 +0200,2010-12-01,15479,N,United Kingdom
"536393",13747,2010-12-01 10:37:00.000 +0200,2010-12-01,7960,N,United Kingdom
"536394",13408,2010-12-01 10:39:00.000 +0200,2010-12-01,100200,N,United Kingdom
"536395",13767,2010-12-01 10:47:00.000 +0200,2010-12-01,31132,N,United Kingdom
"536396",17850,2010-12-01 10:51:00.000 +0200,2010-12-01,36502,N,United Kingdom
"536397",17924,2010-12-01 10:51:00.000 +0200,2010-12-01,27900,N,United Kingdom
"536398",13448,2010-12-01 10:52:00.000 +0200,2010-12-01,31262,N,United Kingdom
"536399",17850,2010-12-01 10:52:00.000 +0200,2010-12-01,2220,N,United Kingdom
"536400",13448,2010-12-01 10:53:00.000 +0200,2010-12-01,1740,N,United Kingdom
"536401",15862,2010-12-01 11:21:00.000 +0200,2010-12-01,34856,N,United Kingdom
"536402",15513,2010-12-01 11:22:00.000 +0200,2010-12-01,35700,N,United Kingdom
"536403",12791,2010-12-01 11:27:00.000 +0200,2010-12-01,17775,N,Netherlands
"536404",16218,2010-12-01 11:29:00.000 +0200,2010-12-01,44862,N,United Kingdom
"536405",14045,2010-12-01 11:32:00.000 +0200,2010-12-01,32640,N,United Kingdom
"536406",17850,2010-12-01 11:33:00.000 +0200,2010-12-01,34180,N,United Kingdom
"536407",17850,2010-12-01 11:34:00.000 +0200,2010-12-01,2220,N,United Kingdom
"536408",14307,2010-12-01 11:41:00.000 +0200,2010-12-01,74909,N,United Kingdom
"536409",17908,2010-12-01 11:45:00.000 +0200,2010-12-01,21502,N,United Kingdom
"536412",17920,2010-12-01 11:49:00.000 +0200,2010-12-01,43267,N,United Kingdom
"536415",12838,2010-12-01 11:57:00.000 +0200,2010-12-01,30142,N,United Kingdom
"536416",13255,2010-12-01 11:58:00.000 +0200,2010-12-01,22570,N,United Kingdom
"536420",16583,2010-12-01 12:03:00.000 +0200,2010-12-01,23345,N,United Kingdom
"536423",18085,2010-12-01 12:08:00.000 +0200,2010-12-01,28122,N,United Kingdom
"536425",13758,2010-12-01 12:08:00.000 +0200,2010-12-01,36245,N,United Kingdom
"536437",13694,2010-12-01 12:12:00.000 +0200,2010-12-01,84212,N,United Kingdom
"536446",15983,2010-12-01 12:15:00.000 +0200,2010-12-01,42721,N,United Kingdom
"536460",14849,2010-12-01 12:22:00.000 +0200,2010-12-01,29554,N,United Kingdom
"536463",14849,2010-12-01 12:22:00.000 +0200,2010-12-01,1740,N,United Kingdom
"536464",17968,2010-12-01 12:23:00.000 +0200,2010-12-01,25376,N,United Kingdom
"536466",14849,2010-12-01 12:23:00.000 +0200,2010-12-01,4290,N,United Kingdom
"536477",16210,2010-12-01 12:27:00.000 +0200,2010-12-01,233866,N,United Kingdom
"536488",17897,2010-12-01 12:31:00.000 +0200,2010-12-01,14435,N,United Kingdom
"536500",17377,2010-12-01 12:35:00.000 +0200,2010-12-01,22390,N,United Kingdom
"536502",16552,2010-12-01 12:36:00.000 +0200,2010-12-01,9529,N,United Kingdom
"536508",17181,2010-12-01 12:38:00.000 +0200,2010-12-01,15552,N,United Kingdom
"536514",17951,2010-12-01 12:40:00.000 +0200,2010-12-01,9138,N,United Kingdom
"536520",14729,2010-12-01 12:43:00.000 +0200,2010-12-01,28325,N,United Kingdom
"536521",12748,2010-12-01 12:48:00.000 +0200,2010-12-01,495,N,United Kingdom
"536522",15012,2010-12-01 12:49:00.000 +0200,2010-12-01,16579,N,United Kingdom
"536523",12868,2010-12-01 12:50:00.000 +0200,2010-12-01,19196,N,United Kingdom
"536524",17572,2010-12-01 12:51:00.000 +0200,2010-12-01,7080,N,United Kingdom
"536525",14078,2010-12-01 12:54:00.000 +0200,2010-12-01,13435,N,United Kingdom
"536526",14001,2010-12-01 12:58:00.000 +0200,2010-12-01,19414,N,United Kingdom
"536527",12662,2010-12-01 13:04:00.000 +0200,2010-12-01,24366,N,Germany
"536528",15525,2010-12-01 13:17:00.000 +0200,2010-12-01,26359,N,United Kingdom
"536529",14237,2010-12-01 13:20:00.000 +0200,2010-12-01,14570,N,United Kingdom
"536530",17905,2010-12-01 13:21:00.000 +0200,2010-12-01,19285,N,United Kingdom
"536531",15485,2010-12-01 13:23:00.000 +0200,2010-12-01,83249,N,United Kingdom
"536532",12433,2010-12-01 13:24:00.000 +0200,2010-12-01,167722,N,Norway
"536533",16955,2010-12-01 13:31:00.000 +0200,2010-12-01,14476,N,United Kingdom
